,S1a,S1b,S2a,S2b,S3a,S3b,time
189,5.644081,6.852046,4.5327005,4.5620866,2.7945614,4.1224875,18.900000000000002
190,5.803292,6.252086,4.3852777,3.9858255,3.3328886,3.778938,19.0
191,5.8971305,6.8710136,3.899763,4.0380073,3.3443294,2.9472659,19.1
192,6.5193486,6.9965525,4.3755865,4.4959826,3.6024551,2.4926531,19.200000000000003
193,6.949608,7.039034,3.8537617,3.9023948,3.6894112,3.6716647,19.3
194,5.806657,6.882102,4.7879786,4.9608793,4.517205,3.9697232,19.400000000000002
195,4.607032,6.8990703,4.163025,5.0959945,4.2523513,3.0765667,19.5
196,6.477778,6.3685994,3.8818862,4.7677126,4.695882,3.7115607,19.6
197,6.4334497,6.452814,4.456975,5.286889,3.895761,3.4887764,19.700000000000003
198,6.1229925,6.3601727,4.740693,4.304162,4.386645,3.584337,19.8
199,6.7874947,6.7460794,4.667595,4.1221023,3.4832976,3.4880762,19.900000000000002
200,6.6650558,6.30101,4.569644,5.051981,4.1925516,3.2073271,20.0
201,6.7757025,7.3225684,5.14837,4.216714,4.3060365,4.212492,20.1
202,6.6135783,6.7918296,4.2399855,3.744171,3.3949363,4.5643706,20.200000000000003
203,6.006038,6.8765345,5.1588955,4.586645,3.4252932,4.3038907,20.3
204,6.5626516,7.8978004,3.9948425,4.7235665,4.0756407,3.9138012,20.400000000000002
205,6.2085066,6.9740934,3.9429603,5.1427174,3.7815926,4.803967,20.5
206,6.25313,7.1128016,3.6643293,4.0047474,3.6116824,4.4607444,20.6
207,5.9040213,6.421535,4.1945443,3.9526663,4.867048,3.9100919,20.700000000000003
208,5.3579993,6.0964303,4.3151574,4.972684,5.3340855,3.6649137,20.8
209,6.4055023,7.5969305,4.313504,4.5018687,3.2185051,4.652317,20.900000000000002
210,6.5643425,7.2980585,5.3858223,4.696891,4.503364,4.870079,21.0
211,5.8205395,7.011834,4.4801216,4.9099793,4.564335,4.3580694,21.1
212,6.971778,7.3773317,4.4011016,4.5727673,4.38229,3.7957816,21.200000000000003
213,7.0524592,7.49388,4.662915,5.7532597,4.351267,3.6302211,21.3
214,5.828524,7.12358,4.3791456,4.4766355,3.8755455,4.154003,21.400000000000002
215,5.93499,7.712223,4.2177067,4.4128184,4.1034946,4.193781,21.5
216,6.446683,7.0250254,4.485627,5.407754,4.4056535,3.4935632,21.6
217,6.8489122,6.653712,4.1641183,3.8002577,3.5881987,2.95935,21.700000000000003
218,6.06067,6.527538,3.9754834,4.320672,4.1130896,3.5790858,21.8
219,6.3626585,5.739442,4.272549,4.6102257,4.424166,3.9309192,21.900000000000002
220,6.9092517,6.948907,4.4615607,4.442988,4.322478,3.6144075,22.0
221,6.8505626,5.987949,4.545941,5.061305,4.3387337,3.931023,22.1
222,6.7163224,6.2105703,4.570618,4.666817,3.9012167,3.879913,22.200000000000003
223,6.6972084,6.2856245,4.5066223,4.2105,3.6263094,5.1559744,22.3
224,6.285886,6.4353933,4.338403,4.246281,4.2043085,4.6033897,22.400000000000002
225,7.1157336,5.9282775,4.5221777,3.9295506,3.5302143,4.1977873,22.5
226,6.1600895,5.8914323,4.407904,4.181342,3.9569056,4.835181,22.6
227,5.4429054,6.7914367,4.234052,4.4726233,3.556217,3.6404338,22.700000000000003
228,6.7458143,6.1886597,4.269865,4.6083946,3.8928757,4.12705,22.8
229,6.766415,6.024349,4.9857197,4.98099,3.7427044,3.350506,22.900000000000002
230,7.0031004,6.3806443,4.1913037,4.4513226,3.796625,4.649748,23.0
231,7.0810127,6.2195654,4.347293,4.7225814,3.9921749,3.1404998,23.1
232,7.401736,5.86535,4.749431,4.3923883,4.0618715,3.7490659,23.200000000000003
233,6.359064,6.276457,4.922593,5.106427,3.765266,3.4941456,23.3
234,6.9631805,6.516747,2.9762864,4.4708405,3.5095649,4.0056734,23.400000000000002
235,7.0529027,5.679476,4.443206,3.9433713,4.0504036,3.5599926,23.5
